
"Week 1"
"--------------"
47,"Why are military tanks called 'tanks'?","British ploy to keep them secret","German word meaning 'Armour'","Invented by ancestor of Tom Hanks","A"
48,"Where is the oldest hedge maze in the UK?","Edingborough Castle","Wimbledon Common","Hampton Court Palace","C"
49,"Which of these would definitely be represented as a float datatype in python?","True","6","3.142","C"
50,"How do you assign a value to a class variable?","self.myClassVar = data","class.myClassVar = 5","def class(myClassVar = 2.5)","A"

"Week 11"
"--------------"
51,"How do you call a normal class function from inside another of that classes' functions?","class.myClassFunction()","MyClass.classFunction()","self.myClassFunc()","C"
52,"Gunpowder was invented by...","The British","The Romans","The Chinese","C"
53,"Assuming normal gravity, at what angle from the ground is the maximum horizontal distance obtained when firing a projectile?","30 degrees","45 degrees","38 degrees","B"
54,"Who directed the 1971 thriller film Duel?","Quentin Tarantino","Steven Spielberg","Alfred Hitchcock","B"
55,"What is the correct way to start defining a normal function in python?","def myFunction():","class myFunction(self):","import myFunction()","A"

"Week 12"
"--------------"
56,"How do you pass two variables into a function call in python?","myFunction(varA,varB)","myFunction = (varA,varB)","def myFunction(varA,varB):","A"
57,"How do you start to define a class function that takes one variable in python?","def myClassFunc = (varA)","def myClassFunc(self,varA):","class def myFunc(varA)","B"
58,"What is the correct way to call a class function in python?","hey, class function!","myClassObject.myClassFunction()","def myClassFunction():","B"
59,"What was the rate of VAT in 2010?","20%","12.5%","17.5%","C"
60,"What is the correct way to change all the characters in a python string to UPPER CASE?","upper(myString)","myString.upper()","myString++","B"

"Week 13"
"--------------"
61,"What does the built-in python function input() do?","Activates the USB ports","Casts data passed to it to the input type","Waits for user text input at the console","C"
62,"In which country was the modern custom of having a christmas tree first developed?","Germany","France","Australia","A"
63,"Which of these is NOT one of Santa's reindeers?","Vixen","Vulpine","Cupid","B"
64,"In the song The Twelve Days of Christmas, how many geese are laying?","7","6","9","B"
